country;gggi2006rank;gggi2006score;gggi2021rank;gggi2021score;epo2006rank;epo2006score;epo2021rank;epo2021score;ea2006rank;ea2006score;ea2021rank;ea2021score;hs2006rank;hs2006score;hs2021rank;hs2021score;pe2006rank;pe2006score;pe2021rank;pe2021score
Iceland;4;0.781;1;0.892;17;0.711;4;0.846;50;0.991;38;0.999;92;0.968;127;0.964;4;0.456;1;0.760
Finland;3;0.796;2;0.861;8;0.734;13;0.806;18;0.999;1;1.000;1;0.980;79;0.970;3;0.470;2;0.669
Norway;2;0.799;3;0.849;11;0.729;20;0.792;15;1.000;33;1.000;61;0.975;126;0.964;2;0.494;3;0.640
New Zealand;7;0.751;4;0.840;14;0.714;27;0.763;17;0.999;1;1.000;69;0.973;106;0.966;11;0.317;4;0.630
Sweden;1;0.813;5;0.823;9;0.731;11;0.810;23;0.999;61;0.996;70;0.973;133;0.962;1;0.550;9;0.522
Namibia;38;0.686;6;0.809;57;0.614;19;0.794;43;0.993;34;1.000;93;0.967;1;0.980;29;0.172;19;0.463
Rwanda;n/a;-;7;0.805;n/a;-;48;0.726;n/a;-;115;0.957;n/a;-;63;0.974;n/a;-;6;0.563
Lithuania;21;0.708;8;0.804;15;0.713;12;0.808;24;0.998;51;0.998;36;0.979;1;0.980;39;0.140;22;0.429
Ireland;10;0.733;9;0.800;47;0.640;43;0.733;1;1.000;48;0.998;81;0.970;119;0.964;9;0.323;11;0.504
Switzerland;26;0.700;10;0.798;18;0.709;39;0.743;79;0.957;80;0.992;35;0.979;128;0.964;34;0.154;12;0.494
Germany;5;0.752;11;0.796;32;0.669;62;0.706;31;0.995;55;0.997;36;0.979;75;0.972;6;0.366;10;0.509
Nicaragua;62;0.657;12;0.796;101;0.463;120;0.598;40;0.994;1;1.000;50;0.978;39;0.978;25;0.192;5;0.606
Belgium;20;0.708;13;0.789;54;0.620;59;0.709;1;1.000;1;1.000;1;0.980;98;0.968;19;0.232;16;0.480
Spain;11;0.732;14;0.788;85;0.539;71;0.699;38;0.994;44;0.998;71;0.973;114;0.965;5;0.421;15;0.491
Costa Rica;30;0.694;15;0.786;89;0.522;110;0.624;32;0.995;35;1.000;1;0.980;66;0.973;15;0.277;8;0.545
France;70;0.652;16;0.784;88;0.525;58;0.710;1;1.000;1;1.000;1;0.980;86;0.970;60;0.104;20;0.457
Philippines;6;0.752;17;0.784;4;0.757;18;0.795;1;1.000;39;0.999;1;0.980;34;0.979;16;0.269;33;0.362
South Africa;18;0.713;18;0.781;79;0.556;92;0.658;42;0.993;69;0.994;59;0.976;37;0.979;8;0.326;14;0.493
Serbia;n/a;-;19;0.780;n/a;-;54;0.716;n/a;-;52;0.998;n/a;-;89;0.969;n/a;-;21;0.437
Latvia;19;0.709;20;0.778;20;0.705;8;0.822;85;0.931;1;1.000;1;0.980;52;0.976;21;0.221;42;0.313
Austria;27;0.699;21;0.777;81;0.553;88;0.665;68;0.980;1;1.000;1;0.980;83;0.970;14;0.282;17;0.473
Portugal;33;0.692;22;0.775;33;0.669;38;0.746;57;0.989;76;0.992;71;0.973;73;0.972;40;0.138;26;0.390
United Kingdom;9;0.736;23;0.775;37;0.664;55;0.716;1;1.000;40;0.999;63;0.974;110;0.966;12;0.307;23;0.419
Canada;14;0.716;24;0.772;10;0.730;40;0.741;21;0.999;1;1.000;51;0.978;100;0.968;33;0.159;29;0.381
Albania;61;0.661;25;0.770;38;0.661;35;0.748;58;0.989;42;0.999;110;0.955;147;0.956;105;0.038;30;0.377
Burundi;n/a;-;26;0.769;n/a;-;3;0.855;n/a;-;132;0.896;n/a;-;33;0.979;n/a;-;36;0.345
Barbados;n/a;-;27;0.769;n/a;-;7;0.837;n/a;-;83;0.991;n/a;-;97;0.968;n/a;-;50;0.278
Moldova;17;0.713;28;0.768;2;0.760;10;0.811;37;0.994;63;0.996;1;0.980;1;0.980;50;0.117;48;0.286
Denmark;8;0.746;29;0.768;19;0.708;42;0.736;1;1.000;1;1.000;76;0.972;119;0.964;13;0.305;32;0.371
United States;23;0.704;30;0.763;3;0.759;30;0.754;66;0.982;36;1.000;1;0.980;87;0.970;66;0.097;37;0.329
Netherlands;12;0.725;31;0.762;51;0.635;57;0.713;73;0.972;1;1.000;67;0.974;135;0.962;10;0.319;31;0.375
Mozambique;n/a;-;32;0.758;n/a;-;95;0.655;n/a;-;130;0.904;n/a;-;1;0.980;n/a;-;13;0.494
